"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","4702","3.212","31.8","17.9","21.0","8.2","7.1","2.4","1.3","6.8","0.2","1.9","0.3","0.1","0.4","0.1","0.3","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","196","3.167","40.3","14.8","23.0","8.7","8.2","2.6","1.5",".",".","0.5",".",".","0.5",".",".","."
"Sophomore","","710","3.106","26.8","18.9","29.7","8.5","8.6","2.5","1.7","0.8",".","1.5",".",".","0.6","0.1",".","0.3"
"Junior","","935","3.092","25.2","19.0","25.9","11.7","10.2","2.8","1.0","1.1",".","2.4","0.4",".","0.3","0.1",".","."
"Senior","","1444","3.048","26.4","17.0","22.1","10.8","10.5","3.9","1.9","2.8","0.4","3.0","0.6","0.1","0.2","0.1",".","."
"Undergraduates","","3285","3.079","27.0","17.9","24.9","10.4","9.8","3.2","1.6","1.7","0.2","2.3","0.4","0.1","0.3","0.1",".","0.1"
"Special","","268","3.276","34.3","23.1","20.9","9.3","3.7","2.6","1.9","1.5","0.4","1.1",".",".","0.4","0.4","0.4","."
"Graduate","","1152","3.686","45.1","16.8","10.1","1.6","0.2","0.1","0.3","22.4","0.2","0.7","0.2","0.3","0.8","0.1","1.1","."
"","Dept. Total","4705","3.212","31.8","17.9","21.0","8.2","7.1","2.4","1.3","6.8","0.2","1.9","0.3","0.1","0.4","0.1","0.3","0.0"
