"EDU","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"CURRIC
Dept. Total
272","1941","3.904","69.9","7.5","1.3","0.5","0.4","0.1","0.1","6.3","0.1","11.3","",".","0.8","1.5",".","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Freshmen","19","3.953","89.5","10.5",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","75","3.964","96.0","1.3","2.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Junior","323","3.804","66.9","12.4","2.8","1.9","2.2",".",".",".",".","13.0","",".",".","0.6",".","0.3","."
"Senior","797","3.913","69.9","8.2","0.6","0.1",".","0.1","0.3","0.1",".","20.6","",".",".","0.1",".",".","."
"Undergraduates","1214","3.888","71.0","8.9","1.3","0.6","0.6","0.1","0.2","0.1",".","17.0","",".",".","0.2",".","0.1","."
"Special","114","3.920","71.1","9.6","1.8",".",".",".",".",".",".","11.4","",".",".","5.3",".",".","."
"Graduate","613","3.936","67.5","4.4","1.3","0.3",".",".",".","19.7","0.2","0.2","",".","2.6","3.4",".","0.3","."
"Dept. Total","1941","3.904","69.9","7.5","1.3","0.5","0.4","0.1","0.1","6.3","0.1","11.3","",".","0.8","1.5",".","0.2","."
