"","999
080","12","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
089","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
097","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","150","3.993","98.0","1.3",".",".",".",".",".",".","",".",".","",".","",".","0.7",".",".","."
"ART
168","Dept. Total","1728","3.761","74.2","14.1","6.2","1.2","1.4","0.3","0.8","0.5","",".",".","",".","",".","0.9","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","202","3.801","75.2","16.8","4.5","1.0","1.0",".","0.5",".","",".",".","",".","",".","0.5","0.5",".","."
"Sophomore","","328","3.795","74.7","17.1","4.6","1.2","1.5",".","0.6",".","",".",".","",".","",".","0.3",".",".","."
"Junior","","355","3.718","71.3","16.3","7.3","1.7","1.1","0.8","1.1",".","",".",".","",".","",".","0.3",".",".","."
"Senior","","500","3.706","67.2","16.0","10.4","1.2","2.2","0.2","0.8","1.2","",".",".","",".","",".","0.8",".",".","."
"Undergraduates","","1385","3.742","71.2","16.5","7.4","1.3","1.6","0.3","0.8","0.4","",".",".","",".","",".","0.5","0.1",".","."
"Special","","45","3.240","51.1","4.4","8.9","2.2","2.2","2.2","6.7","2.2","",".",".","",".","",".","6.7",".","13.3","."
"Graduate","","298","3.944","91.6","4.4","0.3","0.7","0.3",".",".","0.7","",".",".","",".","",".","2.0",".",".","."
"","Dept. Total","1728","3.761","74.2","14.1","6.2","1.2","1.4","0.3","0.8","0.5","",".",".","",".","",".","0.9","0.1","0.3","."
