"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","3.857","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","59","2.949","8.5","22.0","39.0","18.6","8.5","3.4",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","85","3.012","15.3","18.8","36.5","11.8","15.3","1.2",".",".","1.2",".",".",".",".",".",".","."
"Hydroscience","311","001","","46","2.837","13.0","13.0","30.4","19.6","21.7","2.2",".",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","69","3.217","31.9","10.1","40.6","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","46","3.293","32.6","15.2","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","60","3.050","11.7","35.0","20.0","25.0","6.7",".","1.7",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","67","3.470","44.8","16.4","31.3","3.0","4.5",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","22","3.500","40.9","45.5","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","54","3.306","24.1","24.1","46.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","001","","51","3.961","94.1","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","52","3.962","94.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Structures I","442","001","","15","3.067","26.7","13.3","26.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","33","3.091","27.3","18.2","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","40","3.250","22.5","12.5","57.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","30","3.200","10.0","36.7","40.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","79","3.677","54.4","30.4","11.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","40","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","8","3.643","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Coastal Engineering","514","001","","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","13","3.458","46.2","23.1","7.7",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","43","3.744","60.5","27.9","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","002","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","43","3.941","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","001","","14","3.500","50.0","42.9",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","669","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","669","006","","23","3.682","43.5","43.5","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","669","008","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
