"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"990","094","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","106","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","116","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","119","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","126","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","127","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","85","",".",".",".",".",".",".",".","74.1",".",".",".","25.9",".",".",".","."
"GENETICS
412","Dept. Total","688","3.178","40.0","11.2","17.6","3.5","9.7","2.2","1.9","9.3",".",".",".","3.5","1.0",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","45","3.612","77.8","8.9","6.7","2.2","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Sophomore","","61","3.347","59.0","9.8","11.5","3.3","11.5","3.3",".",".",".",".",".",".","1.6",".",".","."
"Junior","","144","2.923","39.6","8.3","20.1","4.9","16.7","2.8","5.6",".",".",".",".",".","1.4",".","0.7","."
"Senior","","247","3.131","40.9","13.0","22.3","4.0","12.6","3.6","2.0",".",".",".",".","0.8","0.8",".",".","."
"Undergraduates","","497","3.116","46.1","10.9","18.9","4.0","12.7","3.0","2.6",".",".",".",".","0.4","1.2",".","0.2","."
"Special","","41","3.504","51.2","14.6","26.8","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Graduate","","150","3.452","16.7","11.3","10.7","2.0","2.0",".",".","42.7",".",".",".","14.7",".",".",".","."
"","Dept. Total","688","3.178","40.0","11.2","17.6","3.5","9.7","2.2","1.9","9.3",".",".",".","3.5","1.0",".","0.1","."
