"VET","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI
938","Dept. Total","719","3.774","47.8","8.2","5.0","0.8","0.6","",".","",".","34.8","",".",".","",".","",".","0.6",".","2.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","7","3.294","42.9",".","14.3","28.6",".","",".","",".","14.3","",".",".","",".","",".",".",".",".","."
"Senior","","8","3.250","37.5","12.5","25.0","12.5","12.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","15","3.268","40.0","6.7","20.0","20.0","6.7","",".","",".","6.7","",".",".","",".","",".",".",".",".","."
"Special","","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","15","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","88","3.632","52.3","26.1","17.0","1.1","2.3","",".","",".",".","",".",".","",".","",".","1.1",".",".","."
"Prof Yr 3","","300","3.743","56.7","11.3","5.7","0.7","0.3","",".","",".","24.7","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 4","","297","3.990","35.4","0.3",".",".",".","",".","",".","58.6","",".",".","",".","",".","0.3",".","5.4","."
"Professionals","","685","3.792","46.9","8.5","4.7","0.4","0.4","",".","",".","36.2","",".",".","",".","",".","0.6",".","2.3","."
"","Dept. Total","719","3.774","47.8","8.2","5.0","0.8","0.6","",".","",".","34.8","",".",".","",".","",".","0.6",".","2.2","."
