"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","40","3.900","90.0","5.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","63","3.429","49.2","6.3","33.3","3.2","7.9",".",".",".",".",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","81","3.395","28.4","33.3","28.4","8.6","1.2",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","81","3.389","34.6","24.7","30.9","3.7","6.2",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","82","3.646","51.2","32.9","9.8","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","81","3.698","60.5","22.2","14.8","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","81","4.000","46.9",".",".",".",".",".",".","53.1",".",".",".",".",".",".",".","."
"528
Immunology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Veterinary General Path","002","","82","3.805","72.0","17.1","11.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","82","3.494","35.4","37.8","22.0","2.4","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","33","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"675
Special Topics","003","","157","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","4.000","34.8",".",".",".",".",".",".","65.2",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".","18.2","."
"775","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".","21.1","."
"920
Thesis Research Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 414 of 421",""
