"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","266","3.202","28.9","26.3","19.2","9.4","14.7","0.8","0.4",".",".",".",".",".",".","0.4",".","."
"","102
001","35","3.557","45.7","20.0","34.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","38","3.447","31.6","31.6","34.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","40","3.325","20.0","30.0","47.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","004
102","41","3.451","31.7","26.8","41.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","154","3.442","31.8","27.3","39.6",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","281","2.957","23.8","13.9","29.5","8.2","18.5","4.6","1.1",".",".",".",".",".","0.4",".",".","."
"","304
001","40","3.338","35.0","15.0","45.0","2.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"","002
304","39","3.346","35.9","15.4","35.9","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","43","3.291","32.6","9.3","44.2","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","304
004","38","3.338","34.2","15.8","34.2","7.9","5.3",".",".",".",".",".",".",".","2.6",".",".","."
"Biology of Microorganisms Lab","Course Total","160","3.327","34.4","13.8","40.0","7.5","3.1",".","0.6",".",".",".",".",".","0.6",".",".","."
"","305
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","15","3.333","66.7","13.3","6.7",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","004
305","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","62","3.815","88.7","4.8","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","324
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","324
004","10","3.150","30.0","30.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","15","3.000","26.7","20.0","26.7","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","70","3.087","24.3","8.6","40.0","11.4","14.3",".",".","1.4",".",".",".",".",".",".",".","."
"Special Topics","375
002","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","49","3.313","44.9","10.2","20.4","10.2","10.2","2.0",".","2.0",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","54","2.943","20.4","20.4","29.6","13.0","5.6","3.7","5.6",".",".",".",".",".","1.9",".",".","."
"Physiol of Microorganisms","526
001","78","3.346","44.9","12.8","24.4","5.1","11.5","1.3",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","527
001","98","3.321","32.7","18.4","33.7","11.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"Immunology","001
528","56","2.609","10.7","5.4","44.6","3.6","19.6","12.5","1.8",".",".",".",".",".","1.8",".",".","."
"Advanced Microbial Genetics","607
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","32","3.063","21.9","15.6","37.5","9.4","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
