"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Books Print Cult Europe No Am","650
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Info Services Management","Course Total","","23","3.773","65.2","26.1",".",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Collection Management","655
001","","22","3.875","72.7","13.6","4.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Introduction to Cyberlaw","663
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710
001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","734
001","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Community Engagement","820
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metadata Standards & Apps","853
001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","855
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
855","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","34","3.864","76.5","14.7","5.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"","861
001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
861","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","861
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Architecture","Course Total","","27","3.611","37.0","48.1","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resrch Dsgn & Methodolgy-LIS","910
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","6","3.786","33.3","16.7",".",".",".",".",".","33.3",".",".",".",".","16.7",".",".","."
