"","990
030","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","990
032","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Research","Course Total","32","",".",".",".",".",".",".","",".","65.6","",".",".","",".","31.3","3.1",".",".","."
"DY SCI
292","Dept. Total","266","3.472","48.5","15.4","14.3","3.8","3.4","1.5","",".","8.3","",".",".","",".","3.8","0.8",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.375","20.0","45.0","30.0",".","5.0",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","41","3.710","75.6","4.9","17.1","2.4",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","42","3.495","66.7","2.4","21.4","7.1",".","2.4","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","84","3.183","36.9","27.4","15.5","6.0","9.5","3.6","",".",".","",".",".","",".",".","1.2",".",".","."
"Undergraduates","","187","3.405","50.3","18.7","18.7","4.8","4.8","2.1","",".",".","",".",".","",".",".","0.5",".",".","."
"Special","","11","3.952","90.9","9.1",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","68","3.683","36.8","7.4","4.4","1.5",".",".","",".","32.4","",".",".","",".","14.7","1.5",".","1.5","."
"","Dept. Total","266","3.472","48.5","15.4","14.3","3.8","3.4","1.5","",".","8.3","",".",".","",".","3.8","0.8",".","0.4","."
