"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","11","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","20","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","66","4.000","4.5",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","95.5","."
"Graduate","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","66","3.356","28.8","16.7","51.5","3.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","23","3.788","73.9","17.4","4.3","4.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","90","3.467","41.1","16.7","38.9","3.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
