"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","9","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","7","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","18","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","16","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","352","3.307","34.7","20.2","31.0","8.2","4.3","1.1","",".",".","",".",".","",".","",".","0.6",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","36","",".",".",".",".",".",".","",".","72.2","",".",".","",".","",".",".",".","27.8","."
"Professionals","389","3.307","31.4","18.3","28.0","7.5","3.9","1.0","",".","6.9","",".",".","",".","",".","0.5",".","2.6","."
