"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","69","2.439","5.8","8.7","23.2","26.1","18.8","7.2","5.8",".","",".","",".",".","",".","","4.3",".",".","."
"Asian American Movement","121
001","8","3.750","87.5",".",".",".","12.5",".",".",".","",".","",".",".","",".","",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","178","3.576","54.5","28.1","6.2","6.2","2.2","2.8",".",".","",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","12","3.750","50.0","50.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Topics-Asian Amer Studies","240
001","39","3.662","61.5","17.9","7.7","5.1",".","2.6",".",".","",".","",".",".","",".","","5.1",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","540
001","18","3.611","50.0","27.8","16.7","5.6",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","540
002","33","3.625","45.5","30.3","21.2",".",".",".",".",".","",".","",".",".","",".","","3.0",".",".","."
"Special Topics","Course Total","51","3.620","47.1","29.4","19.6","2.0",".",".",".","",".","",".",".","",".","",".","2.0",".",".","."
"Humanities Topics","560
001","23","3.804","91.3","4.3",".",".",".",".","4.3",".","",".","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","381","3.438","48.0","22.6","10.5","8.4","4.7","2.9","1.3","",".","",".",".","",".","",".","1.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.670","53.3","33.3",".","3.3","6.7",".",".","",".","",".",".","",".","",".","3.3",".",".","."
"Sophomore","","152","3.470","48.0","21.7","13.8","7.2","3.9","2.0","1.3","",".","",".",".","",".","",".","2.0",".",".","."
"Junior","","93","3.248","37.6","24.7","12.9","11.8","5.4","5.4","2.2","",".","",".",".","",".","",".",".",".",".","."
"Senior","","106","3.497","55.7","18.9","6.6","8.5","4.7","2.8","0.9","",".","",".",".","",".","",".","1.9",".",".","."
"Undergraduates","","381","3.438","48.0","22.6","10.5","8.4","4.7","2.9","1.3","",".","",".",".","",".","",".","1.6",".",".","."
"","Dept. Total","381","3.438","48.0","22.6","10.5","8.4","4.7","2.9","1.3","",".","",".",".","",".","",".","1.6",".",".","."
