"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"205
Islam Wrld:MidEast,500-1500","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"266
Intro to the Middle East","001","","62","3.459","46.8","29.0","8.1","6.5","4.8","1.6","1.6",".",".",".",".",".","1.6",".",".","."
"300","001","","19","3.500","36.8","36.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","17","3.412","47.1","23.5","11.8",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","36","3.458","41.7","30.6","13.9","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"355
Hinduism","001","","25","3.583","40.0","32.0","24.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"356
Islam, Sci&Tech, and Envirnmnt","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"379
Cities of Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Language and Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"624
Meditation-Buddhism & Hinduism","001","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".",".","16.7",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
