"EGR","","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","3076","3.273","30.8","22.4","24.1","8.5","5.5","1.6","0.6","3.2","",".","0.1","",".","2.8","0.5","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","2.893","23.1","23.1","7.7","30.8","7.7",".","7.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","231","3.005","21.2","24.2","22.5","16.5","9.1","4.3","2.2",".","",".",".","",".",".",".",".",".","."
"Junior","","597","3.142","24.5","28.1","24.0","12.1","8.0","2.0","1.2",".","",".",".","",".",".","0.2",".",".","."
"Senior","","1621","3.265","29.7","24.0","30.0","8.5","5.5","1.5","0.2",".","",".",".","",".",".","0.5","0.2",".","."
"Undergraduates","","2462","3.215","27.6","25.0","27.7","10.2","6.5","1.9","0.6",".","",".",".","",".",".","0.4","0.1",".","."
"Special","","43","3.012","25.6","23.3","20.9","7.0","16.3","4.7","2.3",".","",".",".","",".",".",".",".",".","."
"Graduate","","570","3.695","44.7","10.9","8.4","1.2","0.5","0.2","0.2","17.2","",".","0.4","",".","15.3","1.1",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3076","3.273","30.8","22.4","24.1","8.5","5.5","1.6","0.6","3.2","",".","0.1","",".","2.8","0.5","0.1",".","."
