"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1646","3.646","68.4","14.3","10.2","4.4","1.8","0.3","0.3","",".","",".",".","",".",".","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.046","31.5","16.7","16.7","14.8","13.0","7.4",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","35","3.229","37.1","14.3","25.7","14.3","5.7",".","2.9","",".","",".",".","",".",".",".",".",".","."
"Junior","","23","3.326","26.1","34.8","21.7","13.0","4.3",".",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Undergraduates","","116","3.165","32.8","19.0","20.7","14.7","8.6","3.4","0.9","",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","21","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","275","3.967","96.0","2.2","0.4","1.1",".",".",".","",".","",".",".","",".",".",".",".","0.4","."
"Prof Yr 2","","378","3.421","67.5","10.8","12.4","5.0","3.4",".","0.8","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","716","3.578","51.1","16.8","9.5","3.9","0.7",".","0.1","",".","",".",".","",".","17.9",".",".",".","."
"Prof Yr 4","","264","3.762","68.9","17.0","10.2","1.9","0.4","0.4",".","",".","",".",".","",".",".","1.1",".",".","."
"Professionals","","1633","3.675","65.3","13.0","8.8","3.4","1.2","0.1","0.2","",".","",".",".","",".","7.8","0.2",".","0.1","."
"","Dept. Total","1774","3.646","63.5","13.3","9.5","4.1","1.6","0.3","0.3","",".","",".",".","",".","7.2","0.2",".","0.1","."
