"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","141","3.144","25.5","22.0","19.9","26.2","2.1","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","100","002","136","2.981","16.2","19.9","19.1","36.8","3.7","0.7","1.5","1.5",".",".",".",".","0.7",".",".","."
"General Geology","","Course Total","277","3.064","20.9","20.9","19.5","31.4","2.9","1.1","1.4","1.4",".",".",".",".","0.4",".",".","."
"Environmental Geology","106","001","113","3.345","35.4","31.9","15.9","5.3","9.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","173","2.864","20.8","12.7","30.1","10.4","14.5","6.9","2.3",".",".",".",".",".","0.6","1.7",".","."
"Volcanoes and Civilization","111","001","162","3.218","27.8","19.8","25.9","12.3","10.5",".",".","0.6",".",".",".",".",".","3.1",".","."
"Life in Earth's Extreme Envir","117","001","39","3.474","41.0","23.1","28.2","2.6",".","2.6",".",".",".",".",".",".",".",".","2.6","."
"Intro to Geologic Structures","202","001","83","2.783","15.7","12.0","37.3","7.2","18.1","7.2","2.4",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","39","2.973","15.4","12.8","28.2","28.2","10.3",".",".",".",".",".",".",".","5.1",".",".","."
"Gems: Sci Behind the Sparkle","331","001","192","3.104","25.5","28.6","18.2","9.9","12.0","4.7","1.0",".",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","74","2.973","16.2","24.3","17.6","24.3","13.5","2.7",".",".",".",".",".",".","1.4",".",".","."
"Energy Resources","411","001","76","3.413","28.9","36.8","21.1","10.5","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","33","3.152","24.2","21.2","33.3","9.1","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"Recent Marine Sediments","551","001","16","3.500","43.8","25.0","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","15","3.100","33.3","6.7","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","13","3.192","15.4","30.8","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Geochronology & Timescales","610","001","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Hydrogeology","627","001","20","2.700",".","15.0","55.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","3.639","33.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".","16.7",".","8.3","."
"Groundwater Flow Modeling","724","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geochemistry of Sediments","732","001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Structural Geology","755","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","002","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","875","005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","006","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","47","3.700","48.9","19.1","8.5",".",".",".",".","23.4",".",".",".",".",".",".",".","."
"Seminar-Hydrogeology","929","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 230 of 421",""
