"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","699
015","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","41","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","812
041","","16","3.467","31.3","25.0","37.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","812
042","","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","16","3.406","25.0","31.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
812","","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
045","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","72","3.451","27.8","33.3","37.5",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","919
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Clin Neurol Clerk-Marshfld","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","119","3.601","55.5","20.2","22.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
