"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Economics of Health Care","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt-Civil Infrastruct Sys","694
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Affr Prof Devlpmnt Workshp","800
001","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","23","3.565","52.2","17.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","39","3.359","25.6","30.8","33.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"School Finance","830
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","24","3.848","66.7","29.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Public Personnel Adm","875
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
878","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","35","3.786","60.0","37.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880
001","37","3.608","62.2","10.8","13.5","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881
001","21","3.357","38.1","14.3","33.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","17","3.767","58.8","17.6","11.8",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","974
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","974
006","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","287","3.616","43.2","22.3","13.6","4.5","0.3",".",".","1.4",".","13.6",".",".","0.7",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Senior","","14","3.357","14.3","7.1","28.6",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Undergraduates","","14","3.357","14.3","7.1","28.6",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Special","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Graduate","","248","3.629","45.6","22.2","13.3","4.4","0.4",".",".","1.2",".","12.1",".",".","0.8",".",".","."
"Prof Yr 1","","5","***","","","","","","","","","","20.0",".",".",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","9","3.357","11.1","44.4","11.1","11.1",".",".",".",".",".","11.1",".",".",".",".","11.1","."
"Professionals","","17","3.429","17.6","47.1","5.9","11.8",".",".",".",".",".","11.8",".",".",".",".","5.9","."
"","Dept. Total","287","3.616","43.2","22.3","13.6","4.5","0.3",".",".","1.4",".","13.6",".",".","0.7",".","0.3","."
