"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","11","3.500","54.5","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","101
002","23","3.614","69.6","4.3","17.4",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","101
003","21","3.725","71.4","14.3","4.8",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","004
101","21","3.476","47.6","9.5","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.575","60.0","15.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","007
101","19","3.211","47.4","10.5","26.3",".",".","15.8",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","135","3.571","61.5","13.3","17.0","1.5",".","4.4","0.7","1.5",".",".",".",".",".",".",".","."
"","102
001","15","3.500","53.3","20.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","3.250","40.0","10.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","50","3.470","48.0","18.0","20.0","8.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","111
001","12","3.636","83.3",".",".",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"","203
001","21","3.381","38.1","23.8","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
003","21","3.571","61.9","9.5","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
004","23","3.341","39.1","13.0","34.8",".","4.3","4.3",".",".",".",".",".",".",".",".","4.3","."
"","005
203","15","3.333","53.3","13.3","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","80","3.411","47.5","15.0","23.8","3.8","6.3","1.3","1.3",".",".",".",".",".",".",".","1.3","."
"","204
001","17","3.206","41.2","11.8","29.4","5.9",".","11.8",".",".",".",".",".",".",".",".",".","."
"","204
002","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","57","3.640","64.9","14.0","15.8","1.8",".","3.5",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","235
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236
001","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","22","3.864","81.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","22","3.409","40.9","27.3","13.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","249
003","21","3.714","57.1","38.1",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","65","3.662","60.0","26.2","4.6","4.6","4.6",".",".",".",".",".",".",".",".",".",".","."
"","258
001","18","3.500","44.4","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","258
002","20","3.000","25.0","20.0","30.0",".","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"","003
258","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","53","3.340","37.7","26.4","20.8","3.8","7.5","3.8",".",".",".",".",".",".",".",".",".","."
"","262
001","17","3.824","88.2",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","262
002","17","3.735","88.2","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","262
003","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","50","3.800","84.0","8.0","4.0",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kafka and the Kafkaesque","275
001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","278
001","25","3.696","48.0","32.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".","4.0","."
"","278
002","18","3.706","77.8","11.1",".",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","43","3.700","60.5","23.3","7.0",".",".",".","2.3","2.3",".",".",".",".","2.3",".","2.3","."
