"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","111","3.095","12.6","28.8","35.1","15.3","7.2",".","0.9","",".",".","",".",".","",".","",".",".",".","."
"American Legal History to 1860","261
001","34","2.939",".","26.5","41.2","20.6","8.8",".",".",".","",".","",".",".","",".","",".",".","2.9","."
"","400
019","42","3.155","16.7","23.8","38.1","16.7","4.8",".",".",".","",".","",".",".","",".","",".",".",".","."
"","020
400","12","3.273","8.3","33.3","50.0",".",".",".",".",".","",".","",".",".","",".","","8.3",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","54","3.179","14.8","25.9","40.7","13.0","3.7",".",".","",".","",".",".","",".","",".","1.9",".",".","."
"Human Rights in Law & Society","409
001","27","3.315","29.6","33.3","22.2","7.4","3.7","3.7",".",".","",".","",".",".","",".","",".",".",".","."
"Topic:Legal Studies&Humanities","450
024","48","3.208","16.7","47.9","20.8","6.3","2.1","4.2","2.1",".","",".","",".",".","",".","",".",".",".","."
"Surv, Privacy, Police Powers","460
001","48","3.375","20.8","56.3","12.5","6.3","2.1",".","2.1","",".",".","",".",".","",".","",".",".",".","."
"Introduction to Cyberlaw","663
001","10","3.350","20.0","50.0","10.0","20.0",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
005","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
014","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"LEGAL ST
535","Dept. Total","337","3.170","15.4","35.6","29.1","12.2","5.0","0.9","0.9","",".","",".",".","",".","",".","0.6",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.196","14.3","32.1","35.7","14.3","3.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","61","2.922","14.8","16.4","37.7","14.8","11.5",".","4.9","",".","",".",".","",".","",".",".",".",".","."
"Junior","","115","3.153","11.3","38.3","28.7","13.9","4.3","1.7",".","",".","",".",".","",".","",".","1.7",".",".","."
"Senior","","126","3.348","20.6","44.4","23.8","7.9","2.4","0.8",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","330","3.177","15.8","36.1","29.1","11.8","4.8","0.9","0.9","",".","",".",".","",".","",".","0.6",".",".","."
"Special","","7","2.795",".","14.3","28.6","28.6","14.3",".",".","",".","",".",".","",".","",".",".",".","14.3","."
"","Dept. Total","337","3.170","15.4","35.6","29.1","12.2","5.0","0.9","0.9","",".","",".",".","",".","",".","0.6",".","0.3","."
