"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","183","2.527","16.4","5.5","25.7","6.6","31.1","10.9","3.3","0.5",".",".",".",".",".",".",".","."
"","002
101","127","2.476","9.4","6.3","30.7","12.6","26.8","8.7","4.7",".",".",".",".",".",".",".",".","0.8"
"Animal Biology","Course Total","310","2.506","13.5","5.8","27.7","9.0","29.4","10.0","3.9","0.3",".",".",".",".",".",".",".","0.3"
"","102
001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","14","3.357","50.0","14.3","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","102
004","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.273","36.4","18.2","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
006","9","3.222","33.3","22.2","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","007
102","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
014","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
017","9","3.444","55.6","22.2",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","174","3.486","42.0","28.7","22.4","1.7","4.0","0.6","0.6",".",".",".",".",".",".",".",".","."
"","151
001","53","2.972","20.8","9.4","39.6","3.8","26.4",".",".",".",".",".",".",".",".",".",".","."
"","151
002","44","2.761","11.4","13.6","34.1","6.8","29.5","4.5",".",".",".",".",".",".",".",".",".","."
"","003
151","28","2.821","10.7","17.9","35.7","10.7","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","125","2.864","15.2","12.8","36.8","6.4","25.6","3.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","83","2.932","20.5","10.8","37.3","7.2","14.5","7.2",".",".",".",".",".",".",".",".","1.2","1.2"
"","153
001","32","3.000","31.3","6.3","34.4","6.3","15.6","3.1","3.1",".",".",".",".",".",".",".",".","."
"","002
153","34","2.941","17.6","8.8","47.1","8.8","14.7",".","2.9",".",".",".",".",".",".",".",".","."
"","003
153","39","2.346","7.7","5.1","28.2","7.7","33.3","15.4","2.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","105","2.738","18.1","6.7","36.2","7.6","21.9","6.7","2.9",".",".",".",".",".",".",".",".","."
"Heredity","160
001","7","2.929",".","42.9","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","23","3.413","39.1","39.1","8.7",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","27","2.759","14.8","14.8","18.5","33.3","7.4","11.1",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","118","3.315","43.2","10.2","29.7","4.2","8.5","0.8","1.7","0.8",".",".",".",".","0.8",".",".","."
