"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","128","3.230","30.5","26.6","21.9","11.7","5.5","2.3","1.6",".",".",".",".",".",".",".",".","."
"","200
002","91","3.356","35.2","31.9","19.8","5.5","3.3",".","3.3",".",".",".",".",".","1.1",".",".","."
"International Business","Course Total","219","3.282","32.4","28.8","21.0","9.1","4.6","1.4","2.3",".",".",".",".",".","0.5",".",".","."
"Prof Comm&Cultr in Franc World","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","184","3.970","95.7","1.6","2.2",".",".",".",".",".",".",".",".",".","0.5",".",".","."
"","403
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL BUS
235","Dept. Total","450","3.470","61.1","18.0","11.6","4.4","2.4","0.9","1.1",".",".",".",".",".","0.4",".",".","."
