"L&S","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","605","3.268","21.8","22.1","16.4","6.6","5.1","0.8","0.7","",".","",".","25.6","0.7","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","203","3.168","15.8","26.6","17.7","6.4","4.9","2.0","1.5","",".","",".","23.6","1.5","",".",".",".",".","."
"Sophomore","","150","3.188","18.7","18.0","13.3","6.7","8.7","0.7","0.7","",".","",".","33.3",".","",".",".",".",".","."
"Junior","","104","3.287","24.0","15.4","18.3","8.7","4.8",".",".","",".","",".","27.9",".","",".","1.0",".",".","."
"Senior","","135","3.473","32.6","27.4","16.3","5.9","2.2",".",".","",".","",".","15.6",".","",".",".",".",".","."
"Undergraduates","","592","3.266","21.8","22.6","16.4","6.8","5.2","0.8","0.7","",".","",".","25.0","0.5","",".","0.2",".",".","."
"Special","","12","3.429","16.7",".","16.7",".",".",".",".","",".","",".","58.3","8.3","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","605","3.268","21.8","22.1","16.4","6.6","5.1","0.8","0.7","",".","",".","25.6","0.7","",".","0.2",".",".","."
