"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","47","3.926","87.2","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","63","3.937","88.9","9.5","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","47","3.883","87.2","6.4","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","74","3.865","83.8","8.1","6.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","40","3.138","27.5","32.5","20.0","5.0","5.0","7.5","2.5",".",".",".",".",".",".",".",".","."
"","303
002","","38","3.224","18.4","34.2","34.2","5.3","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","78","3.179","23.1","33.3","26.9","5.1","5.1","5.1","1.3",".",".",".",".",".",".",".",".","."
"","365
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","38","3.667","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","54","2.963","14.8","27.8","27.8","9.3","14.8","3.7","1.9",".",".",".",".",".",".",".",".","."
"","650
002","","38","2.961","21.1","13.2","36.8","15.8","7.9",".","5.3",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","92","2.962","17.4","21.7","31.5","12.0","12.0","2.2","3.3",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","651
001","","34","3.324","35.3","23.5","20.6","11.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"","652
001","","36","3.083","19.4","30.6","19.4","19.4","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","652
002","","48","3.458","43.8","31.3","14.6","6.3",".","2.1","2.1",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","84","3.298","33.3","31.0","16.7","11.9","2.4","3.6","1.2",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","28","3.315","35.7","32.1","3.6","14.3","7.1","3.6",".",".",".",".",".",".",".",".","3.6","."
"ACT SCI
242","Dept. Total","","491","3.293","46.4","21.8","17.1","6.7","4.7","2.0","1.0",".",".",".",".",".",".",".","0.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","87","3.411","60.9","17.2","13.8","2.3","3.4","2.3",".",".",".",".",".",".",".",".",".","."
"Junior","","","169","3.264","50.3","17.2","18.3","5.3","5.9","2.4","0.6",".",".",".",".",".",".",".",".","."
"Senior","","","188","3.289","38.3","27.7","16.5","9.0","4.8","2.1","1.6",".",".",".",".",".",".",".",".","."
"Undergraduates","","","445","3.299","47.4","21.6","16.6","6.3","4.9","2.2","0.9",".",".",".",".",".",".",".",".","."
"Special","","","38","3.196","36.8","23.7","23.7","13.2",".",".","2.6",".",".",".",".",".",".",".",".","."
"Graduate","","","8","3.429","37.5","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"","Dept. Total","","491","3.293","46.4","21.8","17.1","6.7","4.7","2.0","1.0",".",".",".",".",".",".",".","0.2","."
