"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","201
001","175","2.621","17.1","6.3","37.7","2.9","20.6","8.6","6.3",".",".",".",".",".","0.6",".",".","."
"","002
201","156","2.613","12.2","7.7","39.7","7.7","19.2","7.1","5.8",".",".",".",".",".","0.6",".",".","."
"Statics","Course Total","331","2.617","14.8","6.9","38.7","5.1","19.9","7.9","6.0",".",".",".",".",".","0.6",".",".","."
"Dynamics","202
001","111","2.797","19.8","14.4","27.0","17.1","9.9","6.3","5.4",".",".",".",".",".",".",".",".","."
"Projects in EMA","291
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","138","2.909","25.4","15.2","21.7","11.6","18.1","5.8","2.2",".",".",".",".",".",".",".",".","."
"","307
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
307","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","9","3.333","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","307
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
011","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
307","12","3.083","8.3","41.7","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","307
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
307","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","102","3.461","33.3","41.2","17.6","3.9","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","30","3.367","20.0","46.7","30.0",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","31","3.032","6.5","38.7","9.7","45.2",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","56","2.714","21.4","10.7","23.2","14.3","16.1","10.7","3.6",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","39","2.641","12.8","2.6","20.5","38.5","20.5","5.1",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
002","46","2.756","13.0","15.2","32.6","15.2","10.9","6.5","4.3","2.2",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","599
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","601
001","26","3.100","19.2","26.9","30.8","7.7","3.8","7.7",".","3.8",".",".",".",".",".",".",".","."
"","601
002","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","9","3.630","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","58","3.455","34.5","41.4","13.8","3.4","1.7","3.4",".","1.7",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","20","3.275","25.0","35.0","35.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Viscoelastic Solids","630
001","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Master's Research","690
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lin Viscoelastcty&Plastcty","703
001","6","",".",".",".",".",".",".",".","66.7",".",".",".",".","33.3",".",".","."
"Plates,Shells&Pressr Vessel","706
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry & Applicatns-Adv Dynamics","742
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 126 of 421",""
