"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","93","3.328","31.2","29.0","21.5","12.9","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"General Botany","130","001","118","2.966","19.5","16.1","33.9","7.6","16.9","5.1",".",".",".",".",".",".","0.8",".",".","."
"","151","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","8","2.813","12.5",".","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Heredity","160","001","9","2.444","11.1","11.1","22.2","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".","."
"Plants and Humans","240","001","71","3.193","26.8","21.1","32.4","11.3","2.8","2.8","1.4","1.4",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","80","3.631","48.8","30.0","20.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","21","3.225","19.0","23.8","38.1","9.5","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Algae","330","001","11","3.800","81.8",".",".",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Environmental Biogeography","338","001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology","370","001","26","3.788","73.1","19.2","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","39","3.355","41.0","15.4","30.8","2.6","2.6","5.1",".","2.6",".",".",".",".",".",".",".","."
"Dendrology","402","001","15","3.571","53.3","13.3","20.0",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Evolutionary Biology","410","001","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","30","3.375","36.7","16.7","26.7","6.7","6.7",".",".","3.3",".",".",".",".","3.3",".",".","."
"General Ecology","460","001","75","3.333","21.3","40.0","29.3","2.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","15","2.467","13.3",".","46.7",".","26.7",".","13.3",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","29","3.679","72.4","10.3","6.9","3.4",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"","575","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Genetics","629","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670","001","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
