"920","010
2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","043
2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","045
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total
8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"RADIOL
832","19
Dept. Total","3.820","63.2","26.3","10.5",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","12","3.889","83.3",".","16.7",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Professionals","18","3.813","61.1","27.8","11.1",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total
19","3.820","63.2","26.3","10.5",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
