"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","53","3.179","35.8","20.8","20.8","11.3","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","167","3.766","64.1","27.5","6.6","1.2","0.6",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","77","3.071","22.1","18.2","31.2","11.7","15.6","1.3",".",".",".",".",".",".",".",".",".","."
"Green Screen","125","001","64","3.333","23.4","42.2","20.3","7.8","3.1",".","1.6",".",".",".",".",".","1.6",".",".","."
"Physical Systems of Envr","127","001","18","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","98","3.255","34.7","22.4","23.5","10.2","5.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","56","3.691","57.1","21.4","19.6",".",".",".",".",".",".",".",".",".",".","1.8",".","."
"Limnology-Aquatic Resources","315","001","53","3.123","32.1","11.3","34.0","5.7","13.2","1.9","1.9",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","21","3.238","38.1","28.6","14.3",".","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","8","3.000","12.5",".","37.5","25.0",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Climatic Environments-Past","331","001","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","34","3.118","2.9","47.1","23.5","23.5","2.9",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","54","3.113","18.5","22.2","31.5","18.5","5.6","1.9",".",".",".",".",".",".",".","1.9",".","."
"Environmental Economics","343","001","16","3.094","37.5","12.5","12.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".","."
"Islam, Sci&Tech, and Envirnmnt","356","001","16","3.885","75.0",".",".","6.3",".",".",".","6.3",".",".",".",".","12.5",".",".","."
"Extinction of Species","360","001","44","3.273","40.9","4.5","36.4","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","17","3.059","11.8","47.1","17.6","11.8",".","11.8",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Field Ecology Workshop","375","001","18","3.382","44.4","22.2","16.7","5.6",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Intro to Geog Info Systems","377","001","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","29","3.554","51.7","17.2","20.7",".","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"","401","002","21","3.789","81.0",".",".",".","9.5",".",".",".",".",".",".",".","4.8","4.8",".","."
"Topics: Env Perspctve-Phys Sci","","Course Total","50","3.597","64.0","10.0","12.0",".","8.0",".",".",".",".",".",".",".","4.0","2.0",".","."
"","402","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","39","3.514","46.2","23.1","15.4","2.6","7.7",".",".",".",".",".",".",".","5.1",".",".","."
"","402","004","38","3.816","81.6","15.8",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","402","005","36","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","147","3.712","78.2","12.9","4.1","0.7","2.0",".","0.7",".",".",".",".",".","1.4",".",".","."
"Topics in Envir: Humanistic","404","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","24","3.375","33.3","37.5","8.3","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","15","3.571","66.7",".","20.0",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"Amer Environmental History","460","001","98","3.653","50.0","30.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","89","3.500","32.6","42.7","21.3","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 159 of 421",""
