"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","8","3.188","50.0",".","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","004
102","","7","3.071","28.6","14.3","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","","24","3.313","45.8","8.3","29.2","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"4th Yr Compositn & Conversatn","312
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lusophone African LIt","451
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Carmen Miranda","460
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","","8","3.833","50.0","25.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Independent Reading","899
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","","82","3.564","50.0","17.1","17.1","1.2","2.4","1.2",".","8.5",".",".",".",".","2.4",".",".","."
