"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150","001","","25","3.840","80.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"150","002","","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"150","003","","33","3.636","54.5","30.3","12.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","","87","3.753","65.5","24.1","9.2",".",".","1.1",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","34","3.926","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","37","3.919","91.9","5.4",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","94","3.941","92.6","5.3","1.1",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","23","3.159","13.0","26.1","34.8","21.7",".",".",".",".",".",".",".",".","4.3",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","92","3.783","65.2","27.2","6.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"595
Lang Politics,Ethnicity,&Ed","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","12","3.813","41.7","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".","8.3","."
"Problems in Educ Pol","Course Total","","27","3.848","63.0","18.5","3.7",".",".",".",".",".",".",".",".",".","11.1",".","3.7","."
"648
Sociology of Education","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"675
Intro to Comparatv & Intl Educ","001","","21","3.833","61.9","19.0","4.8",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"699
Independent Reading","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"719
Intro to Qualitative Research","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"955","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"955","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"963
Ed Plan&Curric-Dev Country","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".","25.0",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","42","",".",".",".",".",".",".",".","83.3",".",".",".","11.9","4.8",".",".","."
