"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","107","3.238","29.9","20.6","31.8","10.3","4.7","1.9","0.9",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","24","3.479","37.5","37.5","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","46","3.419","37.0","32.6","15.2","2.2","2.2","2.2","2.2",".",".",".",".",".",".",".","6.5","."
"","400","021","48","3.198","20.8","29.2","31.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","400","022","47","3.284","29.8","17.0","29.8","10.6","6.4",".",".",".",".",".",".",".","4.3","2.1",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","95","3.239","25.3","23.2","30.5","8.4","9.5",".",".",".",".",".",".",".","2.1","1.1",".","."
"Foundations of Field Education","405","001","46","3.756","67.4","15.2","13.0","2.2",".",".",".",".",".",".",".",".",".",".","2.2","."
"Human Rights in Law & Society","409","001","32","3.371","31.3","28.1","21.9","12.5","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"Law and Environment","430","001","17","3.294","23.5","11.8","64.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","70","3.561","41.4","32.9","15.7","1.4","1.4","1.4",".",".",".",".",".",".","5.7",".",".","."
"Topic:Legal Studies&Humanities","450","017","41","3.375","22.0","36.6","19.5","4.9","4.9",".",".",".",".",".",".",".","9.8","2.4",".","."
"Sociology of Law","641","001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
