"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"LANG & CULTURES OF ASIA - LA Section","#","Ave","A","AB","B","BC","","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","",""
"LCA LANG
Dept. Total
522","136","3.753","75.7","11.0","10.3","",".","",".","0.7","1.5","0.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","9","3.371","55.6","33.3",".","",".","",".",".","11.1",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","25","3.629","68.0","8.0","20.0","",".","",".","4.0",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","31","3.805","77.4","6.5","16.1","",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","40","3.785","82.5","7.5","7.5","",".","",".",".","2.5",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","105","3.718","75.2","9.5","12.4","",".","",".","1.0","1.9",".","",".",".","",".","",".","",".",".",".","."
"Special","8","4.000","87.5",".",".","",".","",".",".",".","12.5","",".",".","",".","",".","",".",".",".","."
"Graduate","21","3.875","76.2","23.8",".","",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","136","3.753","75.7","11.0","10.3","",".","",".","0.7","1.5","0.7","",".",".","",".","",".","",".",".",".","."
