"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","723
001","49","3.500","32.7","36.7","28.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","50","3.520","32.0","46.0","16.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
723","22","3.432","27.3","31.8","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","121","3.496","31.4","39.7","25.6","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","001
728","32","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","55","3.927","85.5","14.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","3.932","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","128","3.949","89.8","10.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","774
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","799
074","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Personnel Management","871
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
153","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
