"MEDICAL HISTORY AND BIOETHI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"133
001
Biology & Society, 1950-Today","85","3.241","24.7","35.3","22.4","10.6","3.5","1.2","2.4",".",".","",".",".","",".","",".",".",".","."
"213
001
Glbl Envir Hlth:Interdis Intro","120","3.675","48.3","40.8","8.3","2.5",".",".",".",".",".","",".",".","",".","",".",".",".","."
"286
001
Studies in Medical History","17","3.471","23.5","47.1","29.4",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"394
001
Science in America","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"509
001
Dev Public Health-America","20","3.833","65.0","20.0","5.0",".",".",".",".",".",".","",".",".","",".","","10.0",".",".","."
"523
001
Race, Amer Med & Pub Health","14","3.846","64.3","28.6",".",".",".",".",".","7.1",".","",".",".","",".","",".",".",".","."
"558
001
Ethical Issues in Health Care","29","3.522","27.6","27.6","24.1",".",".",".",".",".",".","",".",".","",".","",".",".","20.7","."
"565
001
Ethics of Modern Biotechnology","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"610
001
Regenerative Medicine Ethics","11","3.923","90.9",".","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"709
001
Development of Pub Health-Amer","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"730
001
Ethical Issues in Medicine","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"999
007
Advanced Independent Study","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
Dept. Total
452","321","3.556","45.2","33.0","13.4","3.7","0.9","0.3","0.6","0.3","",".",".","",".","",".","0.6",".","1.9","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","17","2.794","11.8","17.6","35.3","23.5",".","5.9","5.9",".","",".",".","",".","",".",".",".",".","."
"Sophomore","51","3.471","31.4","41.2","17.6","9.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","49","3.448","34.7","40.8","14.3","2.0","4.1",".","2.0",".","",".",".","",".","",".","2.0",".",".","."
"Senior","167","3.659","49.1","36.5","12.0","1.2","0.6",".",".",".","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","284","3.534","41.2","37.0","14.8","4.2","1.1","0.4","0.7",".","",".",".","",".","",".","0.7",".",".","."
"Special","8","4.000","12.5",".",".",".",".",".",".","12.5","",".",".","",".","",".",".",".","75.0","."
"Graduate","11","3.845","81.8","9.1","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","321","3.556","45.2","33.0","13.4","3.7","0.9","0.3","0.6","0.3","",".",".","",".","",".","0.6",".","1.9","."
