"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","29","3.017","24.1","17.2","24.1","20.7","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","12","3.778","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.714","62.5","25.0","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","14","3.321","28.6","21.4","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"590","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Teaching Biol: Special Topics","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 39 of 422"
