"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","16","3.424","43.8","18.8","18.8",".","12.5",".","",".",".","",".",".","",".","",".","6.3",".",".","."
"Junior","","9","3.303","33.3","11.1","44.4","11.1",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","23","3.673","60.9","17.4","21.7",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","51","3.473","49.0","17.6","23.5","2.0","3.9","2.0","",".",".","",".",".","",".","",".","2.0",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","28","3.794","53.6","17.9","7.1",".",".",".","",".","17.9","",".",".","",".","",".","3.6",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
