"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","201","2.917","20.4","12.9","25.4","11.4","28.4","0.5",".","0.5",".",".",".",".",".",".","0.5","."
"","002
300","217","3.058","25.3","16.6","27.2","6.9","23.5","0.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","418","2.990","23.0","14.8","26.3","9.1","25.8","0.5",".","0.2",".",".",".",".",".",".","0.2","."
"","305
001","24","3.125","20.8","4.2","62.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","40","3.050","20.0","2.5","60.0","2.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","64","3.078","20.3","3.1","60.9","3.1","12.5",".",".",".",".",".",".",".",".",".",".","."
"","320
001","52","3.442","32.7","38.5","15.4","11.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.328","28.8","28.8","23.7","15.3",".","1.7",".",".",".",".",".",".","1.7",".",".","."
"","320
003","57","3.219","26.3","28.1","22.8","15.8","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"","320
004","59","3.314","27.1","22.0","39.0","10.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","227","3.323","28.6","29.1","25.6","13.2","2.2","0.4","0.4",".",".",".",".",".","0.4",".",".","."
"","325
001","60","3.292","23.3","31.7","31.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
325","59","3.458","35.6","40.7","11.9","3.4","8.5",".",".",".",".",".",".",".",".",".",".","."
"","325
003","36","3.486","36.1","27.8","27.8","5.6",".",".",".","2.8",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","155","3.399","31.0","34.2","23.2","5.2","5.8",".",".","0.6",".",".",".",".",".",".",".","."
"","330
001","59","3.229","32.2","23.7","23.7","8.5","6.8","5.1",".",".",".",".",".",".",".",".",".","."
"","330
002","60","3.150","16.7","31.7","31.7","8.3","10.0","1.7",".",".",".",".",".",".",".",".",".","."
"","330
003","59","3.271","30.5","22.0","30.5","8.5","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","178","3.216","26.4","25.8","28.7","8.4","7.9","2.8",".",".",".",".",".",".",".",".",".","."
"Fixed Income Securities","340
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","19","3.684","57.9","31.6",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","80","3.785","62.5","31.3","3.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","88","3.398","33.0","27.3","29.5","6.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","22","3.595","54.5","13.6","18.2","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","37","3.378","35.1","21.6","29.7","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","43","3.430","25.6","34.9","39.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","29","3.517","34.5","44.8","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","27","3.519","48.1","14.8","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","56","3.518","41.1","30.4","19.6","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
031","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
030","47","3.415","29.8","23.4","46.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
031","37","3.838","70.3","27.0","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Restrctrng&Reorgnztn","755
001","22","3.523","45.5","18.2","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 55 of 422"
