"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","18","3.857","77.8","16.7","5.6",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","33","3.813","75.8","12.1","9.1",".","",".","",".","",".",".","",".",".","",".",".","3.0",".",".","."
"Senior","","61","3.718","65.6","21.3","6.6","6.6","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","115","3.776","71.3","17.4","7.0","3.5","",".","",".","",".",".","",".",".","",".",".","0.9",".",".","."
"Special","","3","***","","","","","","","","","","","","","",".","",".",".",".",".","33.3","."
"Graduate","","22","3.764","59.1","4.5","9.1","4.5","",".","",".","",".","9.1","",".",".","",".","9.1","4.5",".",".","."
"","Dept. Total","140","3.774","67.9","15.0","7.1","3.6","",".","",".","",".","2.9","",".",".","",".","1.4","1.4",".","0.7","."
