"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","7","2.857",".","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","17","3.088","23.5","17.6","23.5","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","89","3.309","36.0","10.1","41.6","4.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","88","3.830","70.5","26.1","2.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","84","4.000","72.6",".",".",".",".",".",".","26.2",".",".",".",".","1.2",".",".","."
"561
Veterinary Systemic Path II","001","","84","3.596","40.5","36.9","21.4",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"562
Veterinary Clinic Pathology","001","","84","3.560","39.3","35.7","21.4","1.2","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"660
Vet Necropsy Rotation","001","","29","4.000","79.3",".",".",".",".",".",".","20.7",".",".",".",".",".",".",".","."
"675","001","","173","",".",".",".",".",".",".",".","61.8",".",".",".",".","34.7",".","3.5","."
"675","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","180","",".",".",".",".",".",".",".","63.3",".",".",".",".","33.3",".","3.3","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"775","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
Pract-Veterinary Sci Tchg","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Advanced Seminar","012","","15","3.500","6.7","6.7","6.7",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 415 of 422",""
