"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","25","3.836","72.0","20.0","4.0",".","",".","",".","",".","4.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","38","3.889","81.6","13.2","2.6",".","",".","",".","",".","2.6","",".",".","",".","",".","",".",".",".","."
"Graduate","","96","3.712","39.6","16.7","6.3","1.0","",".","",".","",".","36.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
