"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","2570","3.347","36.7","26.5","15.9","8.3","5.8","1.0","0.9","1.9","0.1","0.6","",".","1.2","0.6","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","192","2.904","18.2","18.8","21.9","20.8","16.1","1.6","2.6",".",".",".","",".",".",".",".",".","."
"Sophomore","","578","3.292","30.3","27.3","21.5","11.4","8.0","0.3","0.5",".",".",".","",".",".","0.5","0.2",".","."
"Junior","","618","3.419","38.7","29.6","17.8","7.8","4.4","1.0","0.3",".",".",".","",".",".","0.3","0.2",".","."
"Senior","","897","3.413","43.4","28.4","13.2","6.1","4.5","1.4","1.3","0.7",".","0.1","",".","0.3","0.1","0.1",".","0.3"
"Undergraduates","","2285","3.333","36.7","27.7","17.2","9.1","6.3","1.1","1.0","0.3",".","0.0","",".","0.1","0.3","0.1",".","0.1"
"Special","","69","2.950","13.0","15.9","11.6","5.8","7.2","2.9","2.9","34.8",".",".","",".",".",".",".","5.8","."
"Graduate","","215","3.769","44.7","17.2","3.3","0.5","0.5",".",".","9.3","1.4","7.0","",".","12.6","3.7",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".","100.0",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".","100.0",".",".","."
"","Dept. Total","2570","3.347","36.7","26.5","15.9","8.3","5.8","1.0","0.9","1.9","0.1","0.6","",".","1.2","0.6","0.1","0.2","0.1"
