"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","183","3.550","36.1","44.3","12.6","3.3","1.1",".","0.5","1.6",".",".",".",".","0.5",".",".","."
"Intro Earth System","120","001","105","2.981","21.9","21.0","22.9","17.1","8.6","2.9","3.8","1.9",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","58","3.176","22.4","29.3","10.3","19.0","3.4","1.7","1.7","10.3",".",".",".",".",".",".","1.7","."
"Digital Globe:GIScience & Tech","170","001","194","3.382","46.4","18.0","17.0","4.6","9.3","3.1",".","1.0",".",".",".",".","0.5",".",".","."
"","230","001","10","2.900","20.0","30.0","10.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","230","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","","Course Total","15","2.833","20.0","26.7","6.7","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to the City","305","001","48","3.756","62.5","18.8","10.4","2.1",".",".",".","6.3",".",".",".",".",".",".",".","."
"Introduction to Geopolitics","318","001","49","3.533","40.8","26.5","20.4","4.1","2.0",".",".","2.0",".",".",".",".","2.0","2.0",".","."
"Geomorphology","320","001","12","3.042","16.7","41.7","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","10","3.350","50.0","20.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","105","3.204","21.9","25.7","32.4","10.5","5.7","1.9",".",".",".",".",".",".",".",".","1.9","."
"World Regions in Global Contxt","340","001","125","2.934","15.2","19.2","33.6","11.2","12.0","3.2","2.4","3.2",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","187","3.163","15.0","36.9","25.7","8.0","6.4","2.1","1.1","4.3","0.5",".",".",".",".",".",".","."
"Latin America","348","001","17","3.250","11.8","41.2","29.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Geography of Southeast Asia","358","001","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Australia: Environment&Society","359","001","29","3.923","86.2",".",".",".","3.4",".",".","6.9",".",".",".",".","3.4",".",".","."
"Introduction to Cartography","370","001","38","3.338","31.6","18.4","36.8","5.3","5.3",".",".",".",".",".",".",".","2.6",".",".","."
"Intro to Geog Info Systems","377","001","58","3.202","32.8","22.4","24.1","3.4","10.3","3.4","1.7",".",".",".",".",".","1.7",".",".","."
"Introduction to Geocomputing","378","070","20","3.700","65.0","10.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","9","3.625","55.6",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in Geography","475","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","17","3.967","82.4","5.9",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"Culture and Environment","537","001","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","574","070","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","24","3.370","33.3","29.2","25.0",".","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","575","070","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","","Course Total","40","3.615","57.5","20.0","15.0",".","2.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"","576","001","14","3.769","71.4","14.3",".",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"","576","070","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Web/Mobile Programming","","Course Total","25","3.875","84.0","8.0",".",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"GIS Applications","578","001","23","3.565","56.5","17.4","17.4",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","602","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 226 of 422",""
