"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","244","2.893","19.3","20.5","20.9","18.9","13.5","3.7","3.3",".",".",".",".",".",".",".",".","."
"","002
101","331","3.209","25.1","26.3","21.8","18.4","8.2",".",".",".",".",".",".",".","0.3",".",".","."
"","101
003","277","3.002","12.3","22.4","38.6","14.1","9.0","2.5","0.7","0.4",".",".",".",".",".",".",".","."
"","004
101","277","3.058","14.4","26.0","30.3","16.6","10.8","0.7","0.4",".",".",".",".",".","0.7",".",".","."
"Principles-Microeconomics","Course Total","1129","3.053","18.1","24.0","27.8","17.0","10.2","1.6","1.0","0.1",".",".",".",".","0.3",".",".","."
"","001
102","243","3.052","19.8","28.4","13.2","25.5","9.9","2.5","0.4","0.4",".",".",".",".",".",".",".","."
"","003
102","296","2.985","19.9","21.6","19.9","21.3","11.1","3.7","1.0",".",".",".",".",".","0.7","0.7",".","."
"Principles-Macroeconomics","Course Total","539","3.015","19.9","24.7","16.9","23.2","10.6","3.2","0.7","0.2",".",".",".",".","0.4","0.4",".","."
"Internship Economics","228
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","23","2.478","13.0","17.4","17.4","8.7","21.7","17.4","4.3",".",".",".",".",".",".",".",".","."
"","300
002","13","3.192","46.2",".","23.1","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","36","2.736","25.0","11.1","19.4","8.3","22.2","11.1","2.8",".",".",".",".",".",".",".",".","."
"","001
301","185","3.276","29.7","25.9","18.9","20.5","4.9",".",".",".",".",".",".",".",".",".",".","."
"","301
002","180","2.867","20.6","18.3","16.7","20.6","16.1","6.7","1.1",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","365","3.074","25.2","22.2","17.8","20.5","10.4","3.3","0.5",".",".",".",".",".",".",".",".","."
"","302
001","114","2.768","18.4","8.8","38.6","5.3","15.8","7.0","4.4",".",".",".",".",".","1.8",".",".","."
"","302
002","234","3.234","23.1","30.3","27.8","11.1","5.6","1.3","0.4","0.4",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","348","3.083","21.6","23.3","31.3","9.2","8.9","3.2","1.7","0.3",".",".",".",".","0.6",".",".","."
"","001
306","72","2.729","6.9","12.5","38.9","19.4","15.3","5.6","1.4",".",".",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","76","2.730","6.6","13.2","36.8","22.4","14.5","5.3","1.3",".",".",".",".",".",".",".",".","."
"","001
310","149","3.061","21.5","18.8","28.2","17.4","10.1","2.0","0.7",".",".",".",".",".","1.3",".",".","."
"","002
310","103","2.903","18.4","17.5","23.3","17.5","19.4","2.9","1.0",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","252","2.996","20.2","18.3","26.2","17.5","13.9","2.4","0.8",".",".",".",".",".","0.8",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","16","3.281","37.5","31.3","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","001
330","160","2.853","15.6","18.8","14.4","28.8","15.0","5.0",".","1.3",".",".",".",".","1.3",".",".","."
"Contemporary Economic Issues","390
001","35","2.871","22.9","17.1","20.0","14.3","17.1","5.7","2.9",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","163","3.096","21.5","25.8","23.9","19.0","3.7","3.1","1.8","1.2",".",".",".",".",".",".",".","."
"","420
001","17","2.941","17.6","23.5","29.4","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","420
002","21","2.929","28.6","14.3","19.0","9.5","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","003
420","21","2.619","23.8","14.3","14.3","4.8","28.6","4.8","9.5",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","59","2.822","23.7","16.9","20.3","8.5","20.3","5.1","5.1",".",".",".",".",".",".",".",".","."
"Macroeconomic Policy","442
001","38","3.419","39.5","18.4","26.3","10.5","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Wages and the Labor Market","450
001","97","3.211","24.7","30.9","20.6","16.5","4.1","3.1",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","41","3.768","63.4","26.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Forecasting","460
001","48","3.420","27.1","43.8","18.8","8.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","34","3.574","61.8","8.8","20.6",".","8.8",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","88","2.999","23.9","13.6","30.7","14.8","8.0","2.3","3.4",".",".",".",".",".","2.3","1.1",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 210 of 422",""
