"Second Semester Hebrew","102
001","","11","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Fourth Semester Hebrew","202
001","","10","3.950","90.0","10.0","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Hebrew Literature","302
001","","7","3.929","85.7","14.3","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Topics in Modern Hebrew Lit II","402
001","","3","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"HEBR-MOD
442","Dept. Total","","31","3.969","93.5","6.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","9","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.920","85.7","14.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","9","3.955","88.9","11.1","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","3.968","93.3","6.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","31","3.969","93.5","6.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
