"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
189","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","43","3.977","95.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
272","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
272","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","21","3.476","23.8","47.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Music Education","300
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","106","3.698","56.6","17.9","14.2","0.9",".","0.9",".","9.4",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wind Ensemble","40
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","64","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
011","21","3.476","57.1","4.8","28.6","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","263","3.994","98.5","1.1",".",".",".",".",".",".",".",".",".",".","0.4",".",".","."
"Teaching Pop Inst Music 2","421
001","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","88","3.930","95.5",".",".",".","1.1",".","1.1","2.3",".",".",".",".",".",".",".","."
"","43
002","78","4.000","98.7",".",".",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"","43
003","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","210","3.971","97.6",".",".",".","0.5",".","0.5","1.0",".",".",".",".",".",".","0.5","."
"Collegium Musicum","461
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
030","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
032","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
060","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
