"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Junior","","10","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","9","3.938","88.9","11.1",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","20","3.971","90.0","5.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.0","."
"Special","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","47","4.000","74.5",".",".","",".","",".","",".","",".","25.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","6","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","71","3.506","39.4","28.2","32.4","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","16","3.494","50.0","18.8","31.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","96","3.513","46.9","24.0","29.2","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
