"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
BME Fundamentals & Design","001","","104","3.851","73.1","24.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","90","3.817","72.2","18.9","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","110","3.395","25.5","40.9","20.9","12.7",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","23","3.196","21.7","21.7","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"389
Honors in Research","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","089","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","74","4.000","98.6",".",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"402
Biomedical Engineering Design","001","","82","3.713","51.2","40.2","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","114","3.283","15.8","36.0","37.7","7.9","1.8",".",".","0.9",".",".",".",".",".",".",".","."
"489","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
