"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","9","2.875",".","22.2","22.2","44.4",".",".",".","11.1",".",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Greenhouse Cultivation","001","","29","3.534","51.7","20.7","20.7","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"335
Greenhouse Cultivation Lab","002","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360
GM Crops:Sci,Reg,Controversy","001","","15","3.100","20.0","20.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","14","3.538","35.7","35.7","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"375","004","","6","2.000","33.3",".",".",".","33.3",".","33.3",".",".",".",".",".",".",".",".","."
"375","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","2.304","33.3",".","16.7",".","16.7",".","16.7","8.3",".",".",".",".",".","8.3",".","."
"500
Molecular Biology Techniques","001","","13","2.808","15.4","38.5","7.7","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","21","3.053","14.3","23.8","23.8","23.8",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","8","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","11","3.750","27.3","27.3",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"875","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.867","76.3","7.9","2.6",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"910
Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 29 of 422"
