"CHICANA/O & LATINA/O STUDIE Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","",""
"102
001
Intro-Comparatv Ethnic Studies","26","3.885","84.6","7.7","7.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"201
001","38","3.757","65.8","18.4","10.5","2.6",".",".",".",".","",".","",".",".","",".","","2.6",".",".","."
"201
002","38","3.329","36.8","18.4","31.6","5.3","5.3","2.6",".",".","",".","",".",".","",".","",".",".",".","."
"Course Total
Intro to Chicana/o&Latina/o St","76","3.540","51.3","18.4","21.1","3.9","2.6","1.3",".","",".","",".",".","",".","",".","1.3",".",".","."
"231
001
Politcs:Multi-Cultural Soc","18","3.389","16.7","44.4","38.9",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"330
001
Topics in Chicano/a Studies","15","3.821","66.7","20.0","6.7",".",".",".",".",".","",".","",".",".","",".","","6.7",".",".","."
"347
001
Race, Ethnicity, and Media","18","3.028","5.6","38.9","44.4",".","5.6",".","5.6",".","",".","",".",".","",".","",".",".",".","."
"462
001
American West Since 1850","19","3.368","15.8","42.1","42.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"525
001
Latin@ Mental Health","14","3.643","50.0","28.6","21.4",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"699
002","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
011","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
013","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Directed Study","5","***","","","","","","","","","","","","","","","","","","","",""
"CHICLA
Dept. Total
228","191","3.536","47.1","24.1","23.6","1.6","1.6","0.5","0.5","",".","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","13","3.500","38.5","30.8","30.8",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","76","3.561","50.0","17.1","26.3","1.3","2.6",".",".","",".","",".",".","",".","",".","2.6",".",".","."
"Junior","66","3.510","43.9","33.3","18.2","1.5",".","1.5","1.5","",".","",".",".","",".","",".",".",".",".","."
"Senior","36","3.546","50.0","19.4","25.0","2.8","2.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","191","3.536","47.1","24.1","23.6","1.6","1.6","0.5","0.5","",".","",".",".","",".","",".","1.0",".",".","."
"Dept. Total","191","3.536","47.1","24.1","23.6","1.6","1.6","0.5","0.5","",".","",".",".","",".","",".","1.0",".",".","."
