"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Rsch Meths-Compositn Study","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Special Topics-Compositn Thry","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Advanced English Syntax","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"709
Adv Eng Phonology","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Adv Second Lang Acquisition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"737
Feminist Theory & Criticism","001","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"781
Graduate Fiction Workshop","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"785","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"785","108","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","114","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Topics in Early Modern Lit","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Topics in 19th-Cent Amer Lit","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813
World/Postcolonial Lit-English","001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"820
Topics in Poetry","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879
Advanced Seminar in Lit","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr-Appld English Linguistc","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 219 of 422",""
