"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"342
Electronic Circuits II","001","","63","3.611","65.1","11.1","15.9","3.2","3.2",".","1.6",".",".",".",".",".",".",".",".","."
"352","001","","73","3.164","13.7","45.2","16.4","15.1","6.8","2.7",".",".",".",".",".",".",".",".",".","."
"352","002","","28","3.036","21.4","25.0","21.4","17.9","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","101","3.129","15.8","39.6","17.8","15.8","6.9","4.0",".",".",".",".",".",".",".",".",".","."
"353
Intro to Microprocessor Sys","001","","76","3.273","30.3","21.1","27.6","14.5","3.9","1.3",".","1.3",".",".",".",".",".",".",".","."
"354","001","","36","3.042","25.0","19.4","19.4","16.7","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"354","002","","37","2.959","13.5","29.7","27.0","5.4","21.6",".","2.7",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","73","3.000","19.2","24.7","23.3","11.0","19.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"355
Electromech Energy Conversn","001","","28","3.554","46.4","32.1","17.9",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"370","001","","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"370","002","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"370","004","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","52","3.712","53.8","36.5","7.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"376
Electricl&Electronc Circuit","001","","130","3.212","24.6","18.5","42.3","6.9","6.9",".","0.8",".",".",".",".",".",".",".",".","."
"377
Elec&Elec-mech Power Conver","001","","86","3.733","70.9","14.0","8.1","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"399","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"401
Electroacoustical Engr","001","","47","3.489","48.9","29.8","12.8",".","2.1","6.4",".",".",".",".",".",".",".",".",".","."
"412","001","","56","3.161","39.3",".","44.6",".","8.9","7.1",".",".",".",".",".",".",".",".",".","."
"412","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412","004","","18","3.500","55.6",".","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","76","3.237","42.1",".","44.7",".","7.9","5.3",".",".",".",".",".",".",".",".",".","."
"420
Electromag Wave Transmissn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"434
Photonics","001","","10","3.200","30.0","30.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"435
Introduction to Cryptography","001","","23","2.326","26.1","4.3","17.4",".","17.4","26.1","8.7",".",".",".",".",".",".",".",".","."
"437
Communication Systems II","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Semiconductr Physics&Device","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Embedded Microproc System Dsgn","001","","27","3.741","74.1","7.4","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"489","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"491
Senior Design Project","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
