"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"M H R","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","121","3.520","33.9","47.9","10.7","7.4",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","371","3.556","37.5","44.2","11.3","5.7","0.8","0.3","",".",".","",".",".","",".",".","0.3",".",".","."
"Senior","616","3.524","40.1","36.7","14.3","6.2","2.1","0.5","",".","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","1113","3.535","38.7","40.3","12.8","6.1","1.4","0.4","",".","0.1","",".",".","",".",".","0.1",".",".","."
"Special","58","3.466","29.3","41.4","24.1","3.4","1.7",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","493","3.713","56.4","28.8","12.0","1.0",".",".","",".","0.8","",".",".","",".","0.8","0.2",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","9","3.556","44.4","22.2","33.3",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","12","3.625","50.0","25.0","25.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
