"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","118
013","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
014","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","14","3.214","28.6","28.6","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","118
016","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
017","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
018","13","2.885","30.8","23.1","15.4","15.4",".",".","15.4",".",".",".",".",".",".",".",".","."
"","118
019","14","3.536","50.0","28.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
020","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
118","11","3.091","27.3","27.3","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","118
022","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","301","3.565","51.8","26.2","15.3","3.3","1.0",".","2.0",".",".",".",".",".","0.3",".",".","."
"Oral Communication Skills","343
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","344
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
001","13","",".",".",".",".",".",".",".",".",".","76.9","23.1",".",".",".",".","."
"","345
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","Course Total","27","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","349
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","Course Total","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL
351","Dept. Total","809","3.565","19.3","9.8","5.7","1.2","0.4",".","0.7",".",".","61.3","1.5",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","152","3.559","22.4","8.6","5.3","0.7","0.7",".","1.3",".",".","59.2","1.3",".","0.7",".",".","."
"Sophomore","","346","3.584","23.4","11.0","5.8","1.7","0.3",".","0.9",".",".","55.5","1.4",".",".",".",".","."
"Junior","","169","3.535","15.4","10.1","6.5","1.2",".",".","0.6",".",".","65.7","0.6",".",".",".",".","."
"Senior","","48","3.543","31.3","22.9","14.6","2.1","2.1",".",".",".",".","25.0","2.1",".",".",".",".","."
"Undergraduates","","715","3.565","21.8","11.0","6.4","1.4","0.4",".","0.8",".",".","56.6","1.3",".","0.1",".",".","."
"Special","","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","","56","",".",".",".",".",".",".",".",".",".","94.6","5.4",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","100.0",".",".",".",".",".","."
"","Dept. Total","817","3.565","19.1","9.7","5.6","1.2","0.4",".","0.7",".",".","61.7","1.5",".","0.1",".",".","."
