"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","3","***","","","","","","","","","","","","","","","",""
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"349
Quant Technqs-Biological Systm","001","","89","2.596","3.4","2.2","42.7","27.0","20.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","54","2.783","3.7","20.4","31.5","33.3","3.7","1.9","3.7","1.9",".",".",".",".",".",".",".","."
"367","001","","86","2.988","14.0","20.9","44.2","4.7","11.6","2.3","2.3",".",".",".",".",".",".",".",".","."
"367","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","87","2.977","13.8","20.7","43.7","4.6","12.6","2.3","2.3",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"461
Food&Bioprocessing Operations","001","","13","2.962","23.1","7.7","30.8","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"464
Heat and Mass Transfer","001","","10","3.000","40.0","20.0",".","20.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","14","3.286","14.3","50.0","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","22","2.841","9.1","9.1","45.5","13.6","22.7",".",".",".",".",".",".",".",".",".",".","."
"508
Biol Sys Engr Dsgn Practicum I","002","","59","3.678","71.2","15.3","5.1","1.7","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","30","3.167","20.0","26.7","30.0","13.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","25","3.200","44.0","8.0","32.0",".","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"901
Graduate Research Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 3 of 422"
