"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Intro-Interpersonal Com","272","001","106","2.953","10.4","27.4","30.2","19.8","7.5","2.8","1.9",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310","001","50","3.677","42.0","46.0","8.0",".",".",".",".","2.0",".",".",".",".","2.0",".",".","."
"Topics: Film and Media Studies","313","001","98","3.473","38.8","38.8","8.2","1.0","4.1",".","3.1","6.1",".",".",".",".",".",".",".","."
"Media & Human Behavior","325","001","66","3.030","16.7","31.8","25.8","10.6","7.6","6.1","1.5",".",".",".",".",".",".",".",".","."
"Online Comm & Personal Rltnshp","345","001","191","2.860","11.0","28.8","22.5","16.8","12.0","4.7","3.1","0.5",".",".",".",".",".",".",".","0.5"
"Critical Internet Studies","346","001","92","3.109","14.1","43.5","23.9","10.9","1.1","1.1","5.4",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","74","3.155","6.8","39.2","45.9","5.4",".",".","2.7",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","140","3.116","18.6","27.9","25.0","16.4","9.3","0.7","0.7","1.4",".",".",".",".",".",".",".","."
"Television Industries","351","001","90","2.994","11.1","27.8","26.7","22.2","10.0","2.2",".",".",".",".",".",".",".",".",".","."
"","355","001","127","3.167","18.1","34.6","27.6","12.6","3.1",".","3.1",".",".",".",".",".","0.8",".",".","."
"","355","305","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Media Production","","Course Total","128","3.173","18.8","34.4","27.3","12.5","3.1",".","3.1",".",".",".",".",".","0.8",".",".","."
"History of Animated Film","357","001","87","2.971","16.1","25.3","24.1","17.2","13.8","1.1","2.3",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","20","3.275","45.0","10.0","30.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","96","2.781","4.2","24.0","36.5","13.5","15.6","3.1","3.1",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","85","3.018","22.4","24.7","16.5","16.5","15.3","4.7",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","95","3.199","25.3","22.1","25.3","16.8","8.4",".",".","1.1",".",".",".",".",".",".",".","1.1"
"Great Speakers and Speeches","370","001","62","3.048","22.6","22.6","25.8","12.9","12.9",".","3.2",".",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","27","3.278","14.8","40.7","33.3","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Sound Cultures/Podcasting","449","001","41","3.256",".","58.5","34.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","20","3.250","15.0","55.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","16","3.125","18.8","37.5","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.758","54.8","41.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","38","3.132","26.3","23.7","21.1","18.4","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","38","3.408","50.0","26.3","13.2","2.6",".","2.6","5.3",".",".",".",".",".",".",".",".","."
"Digital Media & Political Comm","509","001","43","2.942","18.6","20.9","30.2","14.0","4.7","11.6",".",".",".",".",".",".",".",".",".","."
"","522","001","15","3.433","13.3","60.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","17","3.324","17.6","41.2","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","","Course Total","32","3.375","15.6","50.0","28.1","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Game Cultures","547","001","20","3.725","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization/Transnationalism","573","001","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","18","3.056","16.7","27.8","22.2","27.8",".","5.6",".",".",".",".",".",".",".",".",".","."
"","609","001","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","609","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","25","3.800","72.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","613","001","39","3.079","12.8","20.5","38.5","20.5","5.1",".",".",".",".",".",".",".",".","2.6",".","."
