"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Language, Mind, and Brain","Course Total","142","3.070","30.3","10.6","31.7","12.0","9.9","4.2","1.4",".",".",".",".",".",".",".",".","."
"Primates and Us","450
001","245","3.201","21.2","22.9","40.0","8.2","6.1","1.2",".",".",".",".",".",".","0.4",".",".","."
"","454
001","312","3.434","39.1","30.8","15.4","9.3","4.5","1.0",".",".",".",".",".",".",".",".",".","."
"","454
002","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","332","3.446","39.5","31.3","15.1","9.0","4.2","0.9",".",".",".",".",".",".",".",".",".","."
"Honors-Language, Mind, & Brain","483
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Behavioral Neurosci","484
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors: Psych of Perception","486
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","49","3.112","24.5","24.5","18.4","18.4","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"","002
501","39","3.118","20.5","28.2","28.2","10.3","5.1","2.6","2.6",".",".",".",".",".","2.6",".",".","."
"Depth Topic","Course Total","88","3.115","22.7","26.1","22.7","14.8","9.1","2.3","1.1",".",".",".",".",".","1.1",".",".","."
"Social Development","503
001","87","3.075","26.4","16.1","28.7","12.6","12.6","2.3","1.1",".",".",".",".",".",".",".",".","."
"Psychology of Personality","507
001","172","3.064","19.8","16.3","40.7","10.5","8.7","2.9","0.6",".",".",".",".",".",".","0.6",".","."
"Human Emotions:Biology-Culture","508
001","78","3.273","46.2","7.7","19.2","12.8","9.0","3.8",".","1.3",".",".",".",".",".",".",".","."
"Abnormal Psychology","509
001","313","3.230","23.0","36.4","19.8","10.5","6.7","2.2","0.6",".",".",".",".",".",".","0.6",".","."
"Criminal Mind:Forensics/Scienc","526
001","105","3.784","78.1","11.4","3.8","2.9","1.9",".","1.0","1.0",".",".",".",".",".",".",".","."
"","528
001","93","2.703","20.4","17.2","16.1","12.9","12.9","16.1","2.2",".",".",".",".",".",".",".","2.2","."
"","002
528","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psychology","Course Total","104","2.794","22.1","19.2","17.3","11.5","11.5","14.4","1.9",".",".",".",".",".",".",".","1.9","."
"","001
530","56","3.545","48.2","28.6","14.3","3.6",".","3.6",".",".",".",".",".",".","1.8",".",".","."
"","530
002","53","2.726","15.1","9.4","32.1","15.1","17.0","11.3",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","109","3.202","32.1","19.3","22.9","9.2","8.3","7.3",".",".",".",".",".",".","0.9",".",".","."
"Psych Effects of the Internet","532
001","124","3.746","70.2","16.9","9.7","1.6","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","560
001","184","3.095","30.4","19.0","21.7","10.9","12.0","4.9","1.1",".",".",".",".",".",".",".",".","."
"","560
002","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Psychology","Course Total","196","3.120","31.1","18.9","23.0","10.2","11.2","4.6","1.0",".",".",".",".",".",".",".",".","."
"Honors Seminar in Child Psych","580
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581
001","17","3.500","70.6","5.9","5.9",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","581
002","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581
003","14","3.464","35.7","35.7","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Honors Depth Topic","Course Total","42","3.571","57.1","23.8","9.5",".","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"Honors Social Development","583
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psych-Honors","588
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems Neuroscience","611
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 298 of 422",""
