"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","17","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","24","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","62","",".",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Graduate","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","53","3.442","28.3","30.2","39.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.9","."
"Prof Yr 4","","24","3.697","62.5","25.0","12.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","77","3.511","39.0","28.6","31.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
