"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","95","2.532","16.8","5.3","25.3","6.3","32.6","10.5","3.2",".",".",".",".",".",".",".",".","."
"","101
002","115","2.399","13.9","2.6","27.8","7.0","33.0","6.1","8.7","0.9",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","210","2.459","15.2","3.8","26.7","6.7","32.9","8.1","6.2","0.5",".",".",".",".",".",".",".","."
"","102
001","9","3.111","44.4",".","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","102
002","6","3.000",".","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","003
102","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","11","3.545","63.6",".","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","3.214","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","8","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","9","3.444","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","9","2.944",".","11.1","77.8",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
010","9","3.167","33.3",".","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.278","44.4","11.1","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","013
102","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.250","20.0","10.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
102","13","3.231","15.4","15.4","69.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","158","3.326","36.7","10.1","44.9","3.2","3.8",".","1.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","54","2.620","13.0","3.7","44.4","5.6","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"","152
001","53","3.067","22.6","7.5","43.4","9.4","15.1",".",".",".",".",".",".",".",".",".",".","1.9"
"","152
002","40","2.950","15.0","7.5","47.5","12.5","17.5",".",".",".",".",".",".",".",".",".",".","."
"","003
152","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","152
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","120","3.130","25.0","11.7","40.0","9.2","13.3",".",".",".",".",".",".",".",".",".",".","0.8"
"Introductory Biology","153
001","42","2.738","14.3","16.7","31.0","2.4","23.8","11.9",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","60","2.907","21.7","10.0","30.0","18.3","11.7","5.0","1.7",".","1.7",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 331 of 422",""
