"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Genres-Asian Religious Writing","235","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","17","3.471","41.2","41.2","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to the Middle East","266","002","","42","3.786","71.4","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","300","002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Topics in LCA","","Course Total","","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
"Introduction to Buddhism","308","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Cultures of South Asia","428","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhist Thought","466","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Interdis Approachs to Asia","815","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
