"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","001","","59","3.017","22.0","18.6","20.3","22.0","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"255
Intro to Chem Process Modeling","001","","56","3.205","25.0","21.4","32.1","12.5","8.9",".",".",".",".",".",".",".",".",".",".","."
"310
Chem Process Thermodynamics","001","","52","3.067","11.5","21.2","50.0","11.5","1.9","3.8",".",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","52","3.029","19.2","21.2","26.9","15.4","11.5","3.8",".",".",".",".",".",".","1.9",".",".","."
"320
Intro Transport Phenomena","001","","59","3.198","32.2","28.8","10.2","16.9","5.1","1.7","3.4",".",".",".",".",".",".",".","1.7","."
"324","001","","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","002","","12","3.375","33.3","16.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"324","003","","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","15","3.367","26.7","20.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","57","3.447","29.8","31.6","36.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","73","2.945","16.4","21.9","21.9","21.9","15.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"361
Biomolecular Engr Lab","001","","9","3.500","66.7","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","47","3.053","23.4","19.1","27.7","8.5","19.1","2.1",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","51","3.275","39.2","11.8","33.3","3.9","9.8",".","2.0",".",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","45","3.322","26.7","31.1","24.4","15.6","2.2",".",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","81","3.099","19.8","11.1","46.9","16.0","4.9","1.2",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","001","","65","3.362","18.5","50.8","18.5","9.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"489","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Heterogeneous Catalysis","001","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Seminar-Chem Engr Connections","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","002","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562","008","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","39","3.805","79.5","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Instrmntl Anal-Chem Engr","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 113 of 422",""
