"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","116","3.604","59.5","13.8","7.8","3.4","5.2","0.9","0.9","8.6",".",".",".",".",".",".",".","."
"The Symphony","106
001","84","2.993","11.9","19.0","21.4","15.5","11.9","1.2",".","16.7",".",".",".",".",".","2.4",".","."
"","113
001","716","3.916","94.1",".","4.3",".","0.6","0.4","0.4","0.1",".",".",".",".",".",".",".","."
"","113
003","716","3.926","94.7",".","3.8",".","1.1","0.3","0.1",".",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1432","3.921","94.4",".","4.1",".","0.8","0.3","0.3","0.1",".",".",".",".",".",".",".","."
"","122
001","25","3.320","36.0","28.0","16.0","4.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","002
122","21","3.024","9.5","19.0","61.9","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","46","3.185","23.9","23.9","37.0","4.3","8.7",".","2.2",".",".",".",".",".",".",".",".","."
"","151
001","38","3.539","44.7","39.5","7.9",".","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","151
002","52","3.582","51.9","19.2","15.4","5.8",".","1.9",".","5.8",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","90","3.563","48.9","27.8","12.2","3.3","2.2","2.2",".","3.3",".",".",".",".",".",".",".","."
"Basic Concepts of Music 2","152
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","172
101","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","11","3.136","18.2","18.2","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","46","3.283","15.2","34.8","43.5","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","222","3.549","36.0","29.3","18.5","2.3","0.5",".","0.5","12.6",".",".",".",".","0.5",".",".","."
"Survey-Hist Western Music","212
001","33","3.234","33.3","21.2","27.3","6.1",".","9.1",".","3.0",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","21","3.571","33.3","47.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
296","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","51","3.971","96.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
020","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
