"","999
070","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
099","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"PhD Diss/DMA Project","Course Total","53","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"MUSIC
660","Dept. Total","3776","3.762","81.4","6.1","6.2","1.0","1.1","0.4","0.2","3.4","",".","0.0","",".","0.0","0.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","245","3.703","80.8","6.5","9.0","1.2","1.6",".",".",".","",".",".","",".",".","0.4","0.4",".","."
"Sophomore","","852","3.777","87.1","5.0","5.0","1.3","1.1","0.1","0.4",".","",".",".","",".",".",".",".",".","."
"Junior","","977","3.752","84.5","6.3","6.1","0.7","1.1","0.4","0.4",".","",".",".","",".",".","0.1","0.1","0.1","."
"Senior","","1314","3.763","82.7","6.7","7.0","1.1","1.0","0.7","0.1","0.5","",".","0.1","",".",".","0.1",".",".","."
"Undergraduates","","3388","3.759","84.2","6.2","6.4","1.1","1.1","0.4","0.2","0.2","",".","0.0","",".",".","0.1","0.1","0.0","."
"Special","","80","4.000","16.3",".",".",".",".",".",".","83.8","",".",".","",".",".",".",".",".","."
"Graduate","","313","3.779","67.4","7.0","5.8",".","1.0",".","0.3","17.6","",".",".","",".","0.3","0.6",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3785","3.762","81.4","6.1","6.2","1.0","1.1","0.4","0.2","3.4","",".","0.0","",".","0.0","0.1","0.1","0.0","."
