"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Geom Modeling-Engr Applcatn","331
001","94","3.096","18.1","25.5","33.0","14.9","5.3","1.1","2.1",".",".",".",".",".",".",".",".","."
"","340
001","61","3.205","36.1","23.0","13.1","18.0","4.9","1.6","3.3",".",".",".",".",".",".",".",".","."
"","340
002","57","3.053","28.1","21.1","17.5","10.5","19.3","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","118","3.131","32.2","22.0","15.3","14.4","11.9","1.7","2.5",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","117","3.650","55.6","26.5","12.0","4.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","349
003","20","3.500","30.0","55.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","349
004","25","3.300","12.0","40.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","25","3.440","32.0","32.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","70","3.407","24.3","41.4","28.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
001","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","29","3.603","27.6","65.5","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
003","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
004","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
352","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","91","3.692","47.3","44.0","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
361","49","2.857","18.4","22.4","16.3","22.4","8.2","12.2",".",".",".",".",".",".",".",".",".","."
"","361
002","58","3.034","25.9","17.2","27.6","10.3","12.1","6.9",".",".",".",".",".",".",".",".",".","."
"","003
361","52","3.069","23.1","28.8","17.3","15.4","7.7","1.9","3.8",".",".",".",".",".","1.9",".",".","."
"Thermodynamics","Course Total","159","2.991","22.6","22.6","20.8","15.7","9.4","6.9","1.3",".",".",".",".",".","0.6",".",".","."
"","001
363","49","2.765","14.3","6.1","42.9",".","34.7",".","2.0",".",".",".",".",".",".",".",".","."
"","002
363","49","2.885","16.3","6.1","44.9",".","30.6",".",".",".",".",".",".",".","2.0",".",".","."
"","363
003","46","3.378","30.4","37.0","21.7","2.2","4.3",".","2.2","2.2",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","144","3.000","20.1","16.0","36.8","0.7","23.6",".","1.4","0.7",".",".",".",".","0.7",".",".","."
"Elementary Heat Transfer","364
001","136","3.085","23.5","25.0","25.7","11.0","8.8","4.4","1.5",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","106","2.948","10.4","19.8","38.7","18.9","10.4",".","1.9",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","120","3.371","21.7","41.7","25.8","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","64","3.531","42.2","26.6","26.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","66","3.531","40.9","27.3","25.8","4.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"Stat Expermntl Design","424
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Weld Proc&Matrl Selectn","437
001","14","3.393","35.7","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","446
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
004","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","Course Total","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Redesign & Prototype Fab","449
001","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Thermal/Struct FE Anal","460
001","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461
001","21","3.095","14.3","28.6","38.1",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","001
462","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466
001","48","3.723","66.7","14.6","12.5","2.1","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"Engr Princpl Off-Road Vehicles","476
001","18","3.167","11.1","16.7","66.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 138 of 422",""
